"","ID_new","PraiseEmpathy1","PraiseEmpathy2","PraiseEmpathy3","PraiseEmpathy4","PraiseEmpathy5","PraiseEmpathy6","PraiseEmpathy7","PraiseEmpathy8","PraiseEmpathy9","PraiseEmpathy10","PraiseEmpathy11","PraiseEmpathy12","PraiseEmpathy13","PraiseEmpathy14","PraiseEmpathy15","PraiseEmpathy1a","PraiseEmpathy2a","PraiseEmpathy3a","PraiseEmpathy4a","PraiseEmpathy5a","PraiseEmpathy6a","PraiseEmpathy7a","PraiseEmpathy8a","PraiseEmpathy9a","PraiseEmpathy10a","PraiseEmpathy11a","PraiseEmpathy12a","PraiseEmpathy13a","PraiseEmpathy14a","PraiseEmpathy15a","Aa","Ba","Ca","Q415","Q427","Q436","Q448","Q460","Q472","Q484","Q496","Q508","Q520","Q532","Q544","Ab_1","Bb_1","Cb_1","Q418_1","Q430_1","Q439_1","Q451_1","Q463_1","Q475_1","Q487_1","Q499_1","Q511_1","Q523_1","Q535_1","Q547_1","Ab_2","Bb_2","Cb_2","Q418_2","Q430_2","Q439_2","Q451_2","Q463_2","Q475_2","Q487_2","Q499_2","Q511_2","Q523_2","Q535_2","Q547_2","Ab_3","Bb_3","Cb_3","Q418_3","Q430_3","Q439_3","Q451_3","Q463_3","Q475_3","Q487_3","Q499_3","Q511_3","Q523_3","Q535_3","Q547_3","Ac","Bc","Cc","Q421","Q433","Q442","Q454","Q466","Q478","Q490","Q502","Q514","Q526","Q538","Q550","attrite_1","attrite_2","attrite_3","attrite_4","attrite_5","attrite_6","attrite_7","attrite_8","attrite_9","attrite_10","attrite_11","attrite_12","attrite_13","attrite_14","attrite_15","firstimage_race","secondimage_race","thirdimage_race","fourthimage_race","fifthimage_race","sixthimage_race","seventhimage_race","eighthimage_race","ninethimage_race","tenthimage_race","eleventhimage_race","twelfthimage_race","thirteenthimage_race","fourteenthimage_race","fifteenthimage_race","firstimage_emotion","secondimage_emotion","thirdimage_emotion","fourthimage_emotion","fifthimage_emotion","sixthimage_emotion","seventhimage_emotion","eighthimage_emotion","ninethimage_emotion","tenthimage_emotion","eleventhimage_emotion","twelfthimage_emotion","thirteenthimage_emotion","fourteenthimage_emotion","fifteenthimage_emotion","ID","Age","Sex","Race","Education","Income","Religion","pres_approval","ideology","Party","post17","BaseEmpathy_1","BaseEmpathy_2","BaseEmpathy_3","BaseEmpathy_4","BaseEmpathy_5","BaseEmpathy_6","BaseEmpathy_7","BaseEmpathy_8","BaseEmpathy_1_n","BaseEmpathy_2_n","BaseEmpathy_3_n","BaseEmpathy_4_n","BaseEmpathy_5_n","BaseEmpathy_6_n","BaseEmpathy_7_n","BaseEmpathy_8_n","BaseEmpathy_perspective","BaseEmpathy_warm","BaseEmpathy_anxiety","BaseEmpathy_imagination","trial","describeORfeel","describeORfeel1","describeORfeel2","describeORfeel3","describeORfeel4","describeORfeel5","describeORfeel6","describeORfeel7","describeORfeel8","describeORfeel9","describeORfeel10","describeORfeel11","describeORfeel12","describeORfeel13","describeORfeel14","describeORfeel15","PraiseEmpathy","PraiseEmpathy_a","text1","text2","text3","text4","therm","attrite","race_randomized","emotion_randomized","describeORfeel_new","race_randomized2","emotion_randomized2","PraiseDescribe_v_Control","trump_approval_n","BaseEmpathy_battery","BaseEmpathy_tercile","text"
"1345",1345,0,1,0,1,1,0,1,1,0,NA,NA,0,NA,1,0,NA,1,NA,1,1,NA,1,1,NA,0,0,NA,0,1,NA,"this is a young black male.","this person looks very sacred.","this looks like a black man who is in his 30's.","this looks like a black man who is in his late 20's.","this person looks like they are really fearful for their life.","this person looks like they might be frightened but they are also unsure.","This person looks like they saw something that shocked them.","this looks like a young african american male.","This person looks like a man in his early 20's who is black.","This person looks like they might be angry.","This person looks like they are worried about something that they are witnessing.","This is a middle aged white man.","This is a younger white man who is probably about 20 years old.","This is a middle aged white man.","This seems to be a young black man.","young","scared","younger","young","scared","fear","shock","male","young","mad ","worry","white","young","older","young ","black","worried","black","male","fear","worry","worry","young","male","upset","fear","man","male","man","black ","male","fear","man","black","worry","anxiety","fear","black","black","angry","anxious","older","white","white","man","7","8","6","7","6","9","8","7","6","2","8","3","7","3","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","W","B","B","B","W","B","B","B","W","W","W","W","W","B","A","F","A","A","F","F","F","F","A","A","F","F","A","F","F",33,"20-30","Female","White","Some college, but did not complete a degree","25k to less than 50k","Atheist/agnostic","7","4","Independent",4,"Describes me very well","Describes me very well","Describes me very well","Describes me very well","Somewhat describes me","Describes me","Somewhat describes me","Somewhat describes me",5,5,5,5,3,4,3,3,10,10,7,6,"describeORfeel5",1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,"this person looks like they are really fearful for their life.","scared","fear","worry","6",0,"B","F",0.5,1,0,NA,1,33,"High","this person looks like they are really fearful for their life. scared fear worry"
"1346",1346,0,NA,1,0,NA,NA,0,NA,0,0,1,0,1,NA,0,NA,0,1,NA,0,0,NA,0,NA,NA,1,NA,1,0,NA,"Irritation","man,block african.","anger","man,block african american.","anger","man,white african american.","man,block african american","sad","man, block african american","man. white african american","unnforsunately","man,block african american","sad","Hate","man,white african american","face reaction ","appear","face reaction","Origin","orgin","orgin","orgin","orgin","face reaction ","Origin","orgin","orgin","orgin","orgin","orgin","charecter","face reaction","Origin","face reaction","face reaction","face reaction","face reaction","face reaction","Origin","face reaction","face reaction","face reaction","face reaction","face reaction","face raection","style","style","style","style","style","style","style","style","style","style","style","style","style"," style","style","10","10","10","9","10","9","9","9","9","10","10","7","8","7","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","B","W","B","W","B","B","B","B","B","B","B","W","W","F","F","A","A","A","F","F","A","A","F","F","F","A","F","A",34,"20-30","Male","Black or African American","Master's degree (MA/MS/MBA)","25k to less than 50k","Muslim","1","7","Strong Republican",1,"Describes me","Describes me very well","Describes me","Describes me very well","Describes me","Describes me very well","Describes me","Describes me very well",4,5,4,5,4,5,4,5,9,9,9,9,"describeORfeel5",1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,NA,0,"anger","orgin","face reaction","style","10",0,"B","A",0.5,1,1,1,7,36,"High","anger orgin face reaction style"
"1351",1351,0,1,0,NA,NA,NA,0,1,0,NA,1,1,1,1,NA,NA,1,NA,0,0,0,NA,1,NA,0,1,1,1,1,0,"good","positive","na","good","good","na","good","30,male,hispanic","32,male,black","good","good","good","sad","na","35,male,black","good","good","tension","na","exite","na","na","30","32","33","good","na","sad","na","32","positive","positive","female","na","happy","happy","na","male","male","male","nice","na","na","excite","male","nice","nice","30","na","good","na","na","hispanic","black","black","handsome","na","na","na","black","6","8","7","7","6","7","7","8","6","7","8","7","7","7","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","W","B","W","W","B","W","B","B","B","W","W","W","W","B","F","A","A","F","F","F","F","F","A","A","F","A","A","F","A",39,"31-40","Female","Other","Bachelor's degree (BA/BS)","25k to less than 50k","Roman Catholic","2","6","Lean Republican",3,"Somewhat describes me","Describes me very well","Describes me","Somewhat describes me","Describes me very well","Describes me","Describes me","Somewhat describes me",3,5,4,3,5,4,4,3,8,7,9,7,"describeORfeel5",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,NA,0,"good","exite","happy","good","6",0,"W","F",0.5,0,0,1,6,31,"Medium","good exite happy good"
"1352",1352,NA,1,0,NA,NA,0,0,1,1,1,NA,1,NA,NA,1,0,1,NA,0,0,NA,NA,1,1,1,0,1,0,0,1,"young african american man","white young man","young african american man","young african american man","angry sad anxious","young african american man","young white man","young white man","young white man","young white man","young african american man","young white man","young white man","young african american man","young african american man","young","white","young","young","angry","young","young","young","young","young","young","young","young","young","young","african american","young","african american","african american","sad","african american","white","white","white","white","african american","white","white","african american","african american","man","man","man","man","anxious","man","man","man","man","man","man","man","man","man","man","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","W","B","B","W","B","W","W","W","W","B","W","W","B","B","A","A","F","F","A","A","A","F","A","A","A","A","F","A","F",40,"31-40","Male","White","Bachelor's degree (BA/BS)","75k to less than 100k","Atheist/agnostic","6","4","Independent",2,"Describes me","Describes me","Somewhat describes me","Somewhat describes me","Does not describe me well","Does not describe me well","Somewhat describes me","Somewhat describes me",4,4,3,3,1,1,3,3,8,6,2,6,"describeORfeel5",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,"angry sad anxious","angry","sad","anxious","5",0,"W","A",0.5,0,1,1,2,22,"Low","angry sad anxious angry sad anxious"
"1357",1357,NA,NA,0,NA,NA,1,0,1,1,1,1,0,NA,1,1,0,0,NA,0,0,1,NA,1,1,1,1,NA,0,1,1,"28","Bad","Normal","Good","Bad","Good","Good","better","Good","Nice","Nice","Behavior","Good","Nice","Good","28","27","32","31","29","28","32","35","19","32","23","28","23","40","38","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","white","Black","Black","white","Black","Black","White","Black","White","Black","White","Black","Black","Black","White","8","5","7","7","6","7","10","8","8","7","7","8","8","7","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","B","B","B","B","W","B","W","B","W","B","B","B","W","A","F","A","F","A","F","A","A","F","F","F","F","F","A","A",45,"31-40","Female","Black or African American","Bachelor's degree (BA/BS)","50k to less than 75k","Roman Catholic","1","7","Strong Republican",4,"Describes me very well","Describes me","Describes me very well","Somewhat describes me","Describes me very well","Describes me","Describes me very well","Describes me",5,4,5,3,5,4,5,4,9,8,9,9,"describeORfeel5",1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,NA,0,"Bad","29","Male","Black","6",0,"B","A",0.5,1,1,1,7,35,"High","Bad 29 Male Black"
"1362",1362,NA,NA,1,0,NA,NA,0,0,0,NA,0,NA,NA,1,0,0,0,1,NA,0,0,NA,NA,NA,0,NA,0,0,1,NA,"the person age will be almost 28 years old man and his race must be black","the person feels angry and he experience it few more times","the person is in shock which surprises him a lot","the person is surprised and also in shock","the person is little bit surprised","the person feels disgusting","the person feels disgusting more ","the person must be about 27 year old man and he must be black","the person is almost 35 year old man and the race is must be black","the person must be about 25 year old boy and his race must be black","the person age is almost 26 year old man and his race is black","the person is 26 year old man and his race is black","the person age is 29 year old man and is race is black","the person feels very calm and quite","the person feels disgusting and shock","28","angry","shock","surprised","little shock","disgusting","little shock","27 years","35","25","26","26","29","calm","shock","male","tempered","surprise","shock","surprise","looks ugly","disgusting","male","male","male","male","male","male","quite","disgusting","black","eager","wired","wired ","little wired","shock","wired","black","black","black","black","black","black","humble","wired","6","7","7","7","6","6","5","5","5","6","5","5","5","7","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","B","B","W","W","B","B","B","B","B","B","B","B","B","A","A","F","F","F","F","F","A","A","A","F","F","A","A","F",50,"41-50","Male","White","Some high school, but did not graduate","Less than 25k","Roman Catholic","4","7","Republican",3,"Somewhat describes me","Somewhat describes me","Describes me","Describes me","Somewhat describes me","Somewhat describes me","Somewhat describes me","Somewhat describes me",3,3,4,4,3,3,3,3,6,8,6,6,"describeORfeel5",1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,NA,0,"the person is little bit surprised","little shock","surprise","little wired","6",0,"W","F",0.5,0,0,1,4,26,"Low","the person is little bit surprised little shock surprise little wired"
"1363",1363,0,NA,NA,1,NA,1,1,1,0,1,1,1,1,1,1,NA,0,0,1,0,1,1,1,NA,1,1,1,1,1,1,"This person gender is male and I think his age is twenty eight and his race is black.","He is in angry","This person gender is male and his age is thirty five and his race is black.","This person gender is male and is age is twenty three, his race is white.","He is shocked","This person is male and his age is forty, he is white","This person is confused","This person is shocked","This person is male,he is Forty five and he is white","He is slightly shocked","This person is male, his age isTwenty eight and he is black","he is angry","25,male,white","He is shocked","he is angry","Twenty eight","Anger","Thirty five","Twenty three","fear","Forty","Confused","Shocked","Forty five","Sad","Twenty eigth","Angry ","25","shocked","angry","male","Shocked","Male","Male","Shocked","Male","Sad","Feared","male","Shocked","Male","Sad","male","confused","sulks","black","Sad","black","white","Sad","White","Shocked","Scared","black","Confused","black","sulks","white","feared","shocked","3","2","3","7","2","4","4","3","3","3","8","8","3","3","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","B","W","B","W","B","B","B","B","B","W","W","B","W","A","A","F","A","F","A","F","F","A","A","A","A","A","F","A",51,"20-30","Female","White","Bachelor's degree (BA/BS)","25k to less than 50k","Roman Catholic","5","2","Democrat",3,"Describes me","Somewhat describes me","Somewhat describes me","Describes me","Somewhat describes me","Describes me","Describes me","Somewhat describes me",4,3,3,4,3,4,4,3,7,7,7,7,"describeORfeel5",1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,NA,0,"He is shocked","fear","Shocked","Sad","2",0,"B","F",0.5,1,0,1,3,28,"Medium","He is shocked fear Shocked Sad"
"1364",1364,NA,NA,1,NA,0,0,0,0,NA,NA,1,0,1,0,NA,0,0,1,0,NA,NA,NA,NA,0,0,1,NA,1,NA,0,"A 25 year old male who's Caucasian. ","The person seems to be mad and annoyed at something.","The male is about 28 years old and is Asian.","The person feels resentment and anger towards something/someone.","The person seems confused, mesmerized and annoyed.","The guy is a 25 year old Caucasian male.","The person is around 25 years old, male, Caucasian.","The person is in his thirties, he's a black male.","The person is in his twenties and he's a black male.","The person is a white male in his twenties.","A white male that is in his early twenties. ","The person is a white male in his twenties.","A white male that is in his forties.","A male in his forty that's probably Asian, from India maybe.","A male is his twenties that's Caucasian. ","young","Angry","young","Angry","confused","young","young","middle aged","Young","Young","Young","Young","Older person","Middle aged","Young","male","Mad","male","Mad","disoriented","male","male","male","Male","Male","Male","Male","Male","Male","Male","white","Annoyed","Hindu ","Vengeance","bewildered","caucacian","Caucasian ","Black or African American","Black or African American","White","Caucasian","Caucasian","Caucasian ","Asian","Caucasian ","7","3","4","1","3","5","5","6","5","6","4","4","6","6","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","B","B","W","W","W","B","B","W","W","W","W","B","W","F","A","A","A","A","F","F","F","A","A","F","A","A","F","F",52,"31-40","Female","Other","Associate degree","75k to less than 100k","Roman Catholic","7","5","Democrat",4,"Describes me","Describes me","Describes me very well","Describes me very well","Does not describe me","Describes me very well","Somewhat describes me","Describes me",4,4,5,5,2,5,3,4,8,10,7,7,"describeORfeel5",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,"The person seems confused, mesmerized and annoyed.","confused","disoriented","bewildered","3",0,"W","A",0.5,0,1,0,1,32,"Medium","The person seems confused, mesmerized and annoyed. confused disoriented bewildered"
"1366",1366,NA,NA,NA,0,1,0,NA,NA,1,1,1,1,0,0,1,0,0,0,NA,1,NA,0,0,1,1,1,1,NA,NA,1,"He will older the 25 and he will Black male","Bad","Sad","He will older the 25 and he will Black male","He focus something","He will older the 25 and he will White male","Sad","He is very surprises","Very sad","Surprises","Tension","He look very sad","He will older the 25 and he will White male","He focus on something","He look very sad","25","Bad","Sad","25","Sad","25","25","Surprises","Sad","25","Tension","Sad","25","Negative","Sad","male","Unhappy","unhappy","Male","Unhappy","Male","male","Bad","Bad","Male","emotion","Bad","Male","Unhappy","Unhappy","black","Sad","Bad","Black","Bad","White","black","Negative","Negative","White","sad","Negative","White","Sad","Neegative","10","10","9","10","9","8","10","9","10","10","10","5","10","9","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","W","B","W","W","B","W","W","W","W","W","W","B","B","A","A","A","A","F","F","F","F","F","A","A","A","F","A","F",54,"20-30","Male","White","Bachelor's degree (BA/BS)","25k to less than 50k","Roman Catholic","1","3","Republican",3,"Does not describe me","Somewhat describes me","Describes me","Somewhat describes me","Describes me","Somewhat describes me","Describes me","Describes me very well",2,3,4,3,4,3,4,5,5,7,7,9,"describeORfeel5",1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,"He focus something","Sad","Unhappy","Bad","9",0,"W","F",0.5,0,0,NA,7,28,"Medium","He focus something Sad Unhappy Bad"
"1369",1369,NA,1,0,1,NA,NA,0,1,1,NA,0,NA,NA,NA,0,0,1,NA,1,0,0,NA,1,1,0,NA,0,0,0,NA,"This person is a young white male in his mid twenties.","This person is a middle aged black male in his thirties.","This person is a young black male in his late twenties.","This person is taken aback by something and seems scared.","This person seems to be pretty excited about something that has been told to him.","This person seems to be disgusted with what he has seen or heard.","This person seems really taken back and surprised in a bad way.","This person seems very perplexed and a little angry.","This person is a young white male in his late twenties.","This person is very surprised and a little scared.","This person seems a little confused about something but also seems angry.","This person is extremely surprised about something.","This person seems like he is very surprised and delighted.","This person seems like he is a little surprised and squeamish.","This person is very, very upset and looks super angry.","young","black","black","scared","surprised","angry","aghast","perplexed","white","suprised","angry","suprised","delighted","squeamish","upset","white","male","male","frightened","excited","disgusted","concerned","confusion","male","confused","confused","aghast","surprised","suprised","angry","male","middle aged","young","surprised","happy","mad","scared","anger","younger","scared","mad","wondering","happy","aghast","frustrated ","5","0","0","1","4","2","5","3","6","7","0","3","5","3","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","B","B","B","W","W","W","W","W","W","B","B","B","B","W","F","A","F","F","F","A","F","A","F","F","A","F","F","F","A",57,"31-40","Male","White","Bachelor's degree (BA/BS)","50k to less than 75k","Roman Catholic","1","7","Strong Republican",2,"Describes me","Describes me","Describes me","Describes me very well","Does not describe me well","Does not describe me well","Somewhat describes me","Somewhat describes me",4,4,4,5,1,1,3,3,8,9,2,6,"describeORfeel5",1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,NA,0,"This person seems to be pretty excited about something that has been told to him.","surprised","excited","happy","4",0,"W","F",0.5,0,0,1,7,25,"Low","This person seems to be pretty excited about something that has been told to him. surprised excited happy"
"1375",1375,1,0,0,1,1,1,0,0,NA,NA,NA,NA,0,0,NA,1,NA,NA,1,1,1,NA,NA,0,0,0,0,NA,NA,0,"This person is surprised in a bad way. They are anxious/fearful of something that is happening/did happen.","This person is mad, either disappointed or feels betrayed.","This person is very scared of something.","This person is disappointed, it looks like something didn't go the way they wanted it to.","This person is surprised, and slightly fearful.","This person looks distrusting. They look either disappointed or untrusting.","This person is fearful and surprised by something that is happening.","This person looks like they are trying to look happy about something, but they are not actually feeling happiness.","This person is almost neutral. They look slightly worried about something.","This person is stoic and disappointed about something, and slightly sad.","This person looks surprised by something that made them fearful.","This person is very surprised, they are showing slight excitement along with a little bit of concern.","This person is very serious and looks angry at something, like they want revenge.","This person is upset and disappointed by something.","This person is surprised in a good way. They are a little anxious but are clearly excited about something positive that is happening.","anxious","angry","terrified","mad","surprised","distrusting","fearful","wincing","worried","disappointed","fearful","concerned","vengeful","worried","surprised","fearful","betrayed","worried","disappointed","speechless","disappointed","terrified","forced","distrusting","sad","surprised","excited","serious","disappointed","excited","surprised","disappointed","fearful","sad","frightened","on guard","surprised","bracing","serious","let down","shocked","surprised","angry","betrayed","anxious","8","7","9","7","7","7","7","8","7","8","7","7","5","7","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","B","B","B","W","W","B","W","W","W","W","W","B","B","F","A","F","A","F","A","F","F","A","A","F","F","A","A","F",63,"20-30","Male","White","Some college, but did not complete a degree","25k to less than 50k","Atheist/agnostic","7","1","Independent",3,"Describes me","Describes me","Describes me very well","Describes me very well","Somewhat describes me","Somewhat describes me","Describes me","Describes me",4,4,5,5,3,3,4,4,8,10,6,8,"describeORfeel5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"This person is surprised, and slightly fearful.","surprised","speechless","frightened","7",0,"B","F",0.5,1,0,NA,1,32,"Medium","This person is surprised, and slightly fearful. surprised speechless frightened"
"1382",1382,0,0,0,1,0,0,NA,NA,0,NA,0,1,1,0,0,NA,NA,NA,1,NA,NA,0,0,NA,0,NA,1,1,NA,NA,"this person has seen something that's made him mad.","this person is 38, male, and white.","this person is around 30, male, and white.","this person is around 27, a man, and caucasian.","this man is shocked from some sort of unknown situation.","this man appears upset due to some unknown experience.","this man looks focused, but also a bit angry from something.","this man appears quite happy, and possibly surprised.","this man looks like he's pouting and angry.","this man is clearly taken by surprise from something jolting.","this person is around 29, male, and black.","this man appears to be a bit annoyed, and possibly suspicious.","this man appears stressed out.","this man is clearly surprised from something he's seen.","this man appears worried.","angry","man","younger","twenties","startled","bothered","engrossed","chipper","sulking","astounded","african american","skeptical","pressured","shock","anxious","stewing","caucasian ","guy","male","astonished","agitated","aggravated","jolted","distressed","flabbergasted","young","irritable","hassled","amazed","troubled","fretting","young-ish","white","white","dismayed","annoyed","mad","jovial","grouchy","stunned","man","hesitant","strained","bewildered","unease","3","5","5","2","5","0","0","7","1","5","5","5","5","3","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","W","W","W","W","B","W","B","B","B","B","W","W","W","A","A","F","A","F","A","A","F","A","F","A","A","A","F","F",70,"20-30","Male","White","High school or equivalent (GED)","25k to less than 50k","Nothing in particular","4","4","Independent",1,"Does not describe me","Somewhat describes me","Does not describe me well","Does not describe me well","Does not describe me well","Does not describe me well","Does not describe me","Does not describe me",2,3,1,1,1,1,2,2,5,2,2,4,"describeORfeel5",1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,NA,"this man is shocked from some sort of unknown situation.","startled","astonished","dismayed","5",0,"W","F",0.5,0,0,0,4,13,"Low","this man is shocked from some sort of unknown situation. startled astonished dismayed"
"1384",1384,NA,NA,NA,0,NA,NA,NA,1,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,1,0,NA,NA,0,NA,NA,NA,"Confused","MAle","Amazed","Not in mood","Annoyed","30","Sad","31","Angry","28","Stress","27","Disguised","30","confused","Confused","28","Confused","27","Annoyed","30","Sad","31","Angry","28","Stress","27","Disguised","30","Confused","understandable","Male","Amazed","Male","Irritated","Male","Angry","Male","Irritated","Male","Confused","Male","Guilty","Male","Ignoring","Not in mood","White","Surprised","Black","Ignored","White","Irritated","White","Not in mood","Black","Ignoring","Black","annoying","Black","Avoiding","5","4","5","2","3","0","0","0","0","7","2","5","3","4","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","W","B","W","W","W","W","B","B","W","B","W","B","W","A","F","F","A","F","A","A","A","A","F","A","F","F","F","A",72,"31-40","Male","White","Master's degree (MA/MS/MBA)","75k to less than 100k","Roman Catholic","2","6","Republican",3,"Does not describe me","Somewhat describes me","Somewhat describes me","Describes me",NA,"Does not describe me","Somewhat describes me","Describes me",2,3,3,4,NA,2,3,4,5,7,NA,7,"describeORfeel5",1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,NA,0,"Annoyed","Annoyed","Irritated","Ignored","3",0,"W","F",0.5,0,0,1,6,NA,NA,"Annoyed Annoyed Irritated Ignored"
"1391",1391,1,0,NA,0,1,0,NA,1,1,0,NA,NA,1,1,0,1,NA,0,NA,1,NA,0,1,1,NA,0,0,1,1,NA,"This person is around 30, male, and white.","This person is very surprised.","This person is young, male, and black.","This person is around 30, male, and white.","This person seems very distressed and upset.","This person is angry at someone or something.","This person is surprised.","This person is around 30, black, and male.","This person is angry and frustrated.","This person is frustrated and confused.","This person is about 30, male, and white.","This person is very angry and upset.","This person is surprised by something.","This person is surprised and confused.","This person is upset and grumpy about something.","30ish","surprise","young","30s","distress","anger","surprise","30ish","anger","frustration","30ish","anger","surprise","confusion","upset","male","shock","male","male","uncomfortable","upset","shock","male","frustration","confusion","male","frustration","excitement","surprise","angry","white","excitement","black","white","upset","frustrated","disbelief","black","upset","anger","white","disappointment","alertness","bewilderment","disappointed","4","5","5","5","6","4","5","5","4","5","5","4","5","5","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","B","W","W","B","B","B","W","B","W","B","W","B","B","A","F","A","A","F","A","F","F","A","A","A","A","F","F","A",79,"20-30","Female","White","Bachelor's degree (BA/BS)","75k to less than 100k","Atheist/agnostic","7","2","Lean Democrat",4,"Describes me","Describes me very well","Describes me very well","Describes me","Describes me very well","Does not describe me","Describes me very well","Describes me very well",4,5,5,4,5,2,5,5,9,9,7,10,"describeORfeel5",1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,"This person seems very distressed and upset.","distress","uncomfortable","upset","6",0,"W","F",0.5,0,0,NA,1,35,"High","This person seems very distressed and upset. distress uncomfortable upset"
"1392",1392,0,NA,1,NA,1,0,1,NA,0,1,NA,0,1,0,NA,NA,0,1,0,1,NA,1,0,NA,1,0,NA,1,NA,0,"He is a 20 year old black male.","He is worried, thinking, disturbed.","He is sad, lonely, and contemplating.","He is worried, fearful and disturbed.","He is expecting, hopeful and thoughtful.","He is worried, thinking and disturbed.","He is sad, lonely, contemplating.","He is expecting, hopeful, thoughtful.","He is sad, lonely, contemplating.","He is worried, thinking, disturbed ","He is expecting, hopeful, thoughtful","He is expecting, hopeful, thoughtful","He is sad, lonely, contemplating","He is  worried, thinking, disturbed ","He is expecting, hopeful, thoughtful","young","disturbed ","sad","worried","expecting","worried","sad","hopeful","lonely","worried","thoughtful","expecting","contemplating","thinking","thoughtful","male","thinking","lonely","fearful","hopeful","thinking","lonely","thoughtful","contemplating"," thinking","expecting","hopeful","sad","disturbed ","expecting","black","worried","contemplating","disturbed","thoughtful","disturbed ","contemplating"," expecting","sad","disturbed ","hopeful","thoughtful","lonely","disturbed "," hopeful,","9","7","7","6","9","6","7","8","6","7","8","8","8","5","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B","B","W","W","B","W","W","B","W","W","W","B","W","W","B","F","F","A","F","A","F","A","A","A","A","A","A","A","F","A",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"describeORfeel5",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"He is expecting, hopeful and thoughtful.","expecting","hopeful","thoughtful","9",0,"B","A",0.5,1,1,NA,NA,NA,NA,"He is expecting, hopeful and thoughtful. expecting hopeful thoughtful"
